year,state,state_abbr,growth_rank,in_migration_pct,out_migration_pct,net_migration_pct
2019,Oklahoma,OK,14.0,50.2,49.8,0.4000000000000057
2020,Oklahoma,OK,14.0,50.6,49.4,1.2000000000000028
2021,Oklahoma,OK,44.0,59.6,50.4,9.200000000000005
2022,Oklahoma,OK,42.0,49.7,50.3,-0.5999999999999943
2023,Oklahoma,OK,41.0,49.7,50.3,-0.5999999999999943
2015,Oregon,OR,49.0,49.1,50.9,-1.7999999999999972
2016,Oregon,OR,24.0,50.0,50.0,0.0
2017,Oregon,OR,32.0,49.9,50.1,-0.2000000000000028
2018,Oregon,OR,14.0,50.1,49.9,0.2000000000000028
2019,Oregon,OR,29.0,50.0,50.0,0.0
2020,Oregon,OR,45.0,49.6,50.4,-0.7999999999999972
2021,Oregon,OR,14.0,50.3,49.7,0.5999999999999943
2022,Oregon,OR,22.0,50.1,49.9,0.2000000000000028
2023,Oregon,OR,37.0,49.8,50.2,-0.4000000000000057
2015,Pennsylvania,PA,48.0,49.7,50.3,-0.5999999999999943
2016,Pennsylvania,PA,45.0,49.7,50.3,-0.5999999999999943
2017,Pennsylvania,PA,48.0,49.2,50.8,-1.5999999999999943
2018,Pennsylvania,PA,44.0,49.8,50.2,-0.4000000000000057
2019,Pennsylvania,PA,46.0,49.6,50.4,-0.7999999999999972
2020,Pennsylvania,PA,41.0,49.9,50.1,-0.2000000000000028
2021,Pennsylvania,PA,48.0,49.5,50.5,-1.0
2022,Pennsylvania,PA,24.0,50.1,49.9,0.2000000000000028
2023,Pennsylvania,PA,38.0,49.7,50.3,-0.5999999999999943
2015,Rhode Island,RI,38.0,49.7,50.3,-0.5999999999999943
2016,Rhode Island,RI,36.0,49.4,50.6,-1.2000000000000028
2017,Rhode Island,RI,39.0,49.1,50.9,-1.7999999999999972
2018,Rhode Island,RI,38.0,49.2,50.8,-1.5999999999999943
2019,Rhode Island,RI,35.0,49.5,50.5,-1.0
2020,Rhode Island,RI,35.0,50.0,50.0,0.0
2021,Rhode Island,RI,32.0,49.3,50.7,-1.4000000000000057
2022,Rhode Island,RI,40.0,48.8,51.2,-2.4000000000000057
2023,Rhode Island,RI,36.0,49.1,50.9,-1.7999999999999972
2015,South Carolina,SC,17.0,50.4,49.6,0.7999999999999972
2016,South Carolina,SC,22.0,50.1,49.9,0.2000000000000028
2017,South Carolina,SC,4.0,50.5,49.5,1.0
2018,South Carolina,SC,3.0,50.5,49.5,1.0
2019,South Carolina,SC,4.0,50.5,49.5,1.0
2020,South Carolina,SC,15.0,50.4,49.6,0.7999999999999972
2021,South Carolina,SC,4.0,50.5,49.5,1.0
2022,South Carolina,SC,3.0,50.9,49.1,1.7999999999999972
2023,South Carolina,SC,4.0,51.4,48.6,2.799999999999997
2015,South Dakota,SD,32.0,50.4,49.6,0.7999999999999972
2016,South Dakota,SD,18.0,50.7,49.3,1.4000000000000057
2017,South Dakota,SD,27.0,50.0,50.0,0.0
2018,South Dakota,SD,27.0,50.1,49.9,0.2000000000000028
2019,South Dakota,SD,27.0,50.1,49.9,0.2000000000000028
2020,South Dakota,SD,25.0,51.8,48.2,3.5999999999999943
2021,South Dakota,SD,11.0,52.5,47.5,5.0
2022,South Dakota,SD,31.0,50.1,49.9,0.2000000000000028
2023,South Dakota,SD,19.0,50.7,49.3,1.4000000000000057
2015,Tennessee,TN,34.0,50.0,50.0,0.0
